"X1","X2","X3","X4"
"Top Rated Beers","Top Rated Beers","Top Rated Beers","Top Rated Beers"
"","","Avg","Ratings"
"1","Kentucky Brunch Brand StoutToppling Goliath Brewing CompanyAmerican Double / Imperial Stout / 12.00% ABV","4.84","599"
"2","Good MorningTree House Brewing CompanyAmerican Double / Imperial Stout / 8.40% ABV","4.77","1,021"
"3","Very HazyTree House Brewing CompanyAmerican Double / Imperial IPA / 8.60% ABV","4.77","646"
"4","King JuliusTree House Brewing CompanyAmerican Double / Imperial IPA / 8.30% ABV","4.74","757"
"5","Hunahpu's Imperial Stout - Double Barrel AgedCigar City BrewingAmerican Double / Imperial Stout / 11.00% ABV","4.71","1,456"
"6","Pliny The YoungerRussian River Brewing CompanyAmerican Double / Imperial IPA / 10.25% ABV","4.67","3,075"
"7","Mornin' DelightToppling Goliath Brewing CompanyAmerican Double / Imperial Stout / 12.00% ABV","4.69","1,136"
"8","King JJJuliusssTree House Brewing CompanyAmerican Double / Imperial IPA / 8.40% ABV","4.76","385"
"9","Barrel-Aged AbraxasPerennial Artisan AlesAmerican Double / Imperial Stout / 11.00% ABV","4.68","1,298"
"10","Heady TopperThe Alchemist Brewery and Visitors CenterAmerican Double / Imperial IPA / 8.00% ABV","4.65","13,341"
"11","Marshmallow Handjee (Bourbon Barrel Aged Vanilla Bean Dark Lord)3 Floyds Brewing Co.Russian Imperial Stout / 15.00% ABV","4.67","1,478"
"12","DinnerMaine Beer CompanyAmerican Double / Imperial IPA / 8.20% ABV","4.66","1,995"
"13","Juice MachineTree House Brewing CompanyAmerican Double / Imperial IPA / 8.20% ABV","4.7","590"
"14","Very GreenTree House Brewing CompanyAmerican Double / Imperial IPA / 8.60% ABV","4.69","685"
"15","Triple Sunshine IPALawson's Finest LiquidsAmerican Double / Imperial IPA / 10.50% ABV","4.69","627"
"16","AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged)AleSmith Brewing CompanyAmerican Double / Imperial Stout / 12.00% ABV","4.68","731"
"17","Founders CBS (Canadian Breakfast Stout)Founders Brewing CompanyAmerican Double / Imperial Stout / 10.60% ABV","4.63","4,319"
"18","JuliusTree House Brewing CompanyAmerican IPA / 6.80% ABV","4.63","3,559"
"19","Fundamental ObservationBottle Logic BrewingAmerican Double / Imperial Stout / 14.30% ABV","4.66","810"
"20","King SueToppling Goliath Brewing CompanyAmerican Double / Imperial IPA / 8.00% ABV","4.63","1,865"
"21","DoublegangerTree House Brewing CompanyAmerican Double / Imperial IPA / 8.20% ABV","4.73","324"
"22","JJJuliusssTree House Brewing CompanyAmerican IPA / 6.80% ABV","4.72","348"
"23","Trappist Westvleteren 12 (XII)Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)Quadrupel (Quad) / 10.20% ABV","4.61","6,312"
"24","Pliny The ElderRussian River Brewing CompanyAmerican Double / Imperial IPA / 8.00% ABV","4.6","14,403"
"25","Morning WoodFunky Buddha BreweryAmerican Porter / 12.00% ABV","4.64","813"
"26","Sunday BrunchKane Brewing CompanyAmerican Porter / 9.20% ABV","4.66","569"
"27","Double Dry Hop PseudoSue (Citra)Toppling Goliath Brewing CompanyAmerican Pale Ale (APA) / 5.80% ABV","4.64","629"
"28","Snowed In - Bourbon Barrel AgedFunky Buddha BreweryAmerican Porter / 11.00% ABV","4.68","374"
"29","Bourbon County Brand Coffee StoutGoose Island Beer Co.American Double / Imperial Stout / 13.40% ABV","4.58","7,023"
"30","AbnerHill Farmstead BreweryAmerican Double / Imperial IPA / 8.20% ABV","4.58","2,600"
"31","GreenTree House Brewing CompanyAmerican IPA / 7.60% ABV","4.58","2,318"
"32","Focal BangerThe Alchemist Brewery and Visitors CenterAmerican IPA / 7.00% ABV","4.57","3,090"
"33","Founders KBS (Kentucky Breakfast Stout)Founders Brewing CompanyAmerican Double / Imperial Stout / 11.80% ABV","4.56","12,521"
"34","Double ShotTree House Brewing CompanyAmerican Stout / 7.60% ABV","4.6","856"
"35","AnnHill Farmstead BrewerySaison / Farmhouse Ale / 6.50% ABV","4.66","358"
"36","Sip Of SunshineLawson's Finest LiquidsAmerican Double / Imperial IPA / 8.00% ABV","4.56","4,649"
"37","Alter EgoTree House Brewing CompanyAmerican IPA / 6.80% ABV","4.57","1,818"
"38","Assassin Imperial StoutToppling Goliath Brewing CompanyAmerican Double / Imperial Stout / 12.00% ABV","4.58","1,144"
"39","Society & Solitude #4Hill Farmstead BreweryAmerican Double / Imperial IPA / 8.00% ABV","4.58","1,120"
"40","Double Dry Hopped Congress StreetTrillium Brewing CompanyAmerican IPA / 7.20% ABV","4.58","1,120"
"41","Double Sunshine IPALawson's Finest LiquidsAmerican Double / Imperial IPA / 8.00% ABV","4.56","2,127"
"42","Nectarine Premierede Garde BrewingSaison / Farmhouse Ale / 7.10% ABV","4.69","250"
"43","FuzzySide Project BrewingAmerican Wild Ale / 8.00% ABV","4.59","762"
